departamento;Saldo Atual;Preço de Custo Médio;Preço de Venda;Preco Custo;;;
ACESSORIOS CELULAR;25;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ACESSORIOS CELULAR;25;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ACESSORIOS CELULAR;25;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ACESSORIOS CELULAR;25;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ACESSORIOS CELULAR;25;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ALMOFADAS ;6;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ANTENAS E RECEPTORES;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ANTENAS E RECEPTORES;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ANTENAS E RECEPTORES;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
ANTENAS E RECEPTORES;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;8;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;8;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;4;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADOR DE PELOS;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADORES;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADORES;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARADORES;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARELHO DE JANTAR;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARELHO DE JANTAR;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARELHO DE JANTAR;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARELHO DE JANTAR;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
APARELHO DE JANTAR;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO CONVENCIONAL;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO CONVENCIONAL;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO CONVENCIONAL;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO CONVENCIONAL;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO CONVENCIONAL;3;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO CONVENCIONAL;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO CONVENCIONAL;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;4;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;4;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;1;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
AR CONDICIONADO SPLIT;2;R$ 393,00;R$ 1.123,00;R$ 320,00;;;
